霊的な知識@学問を求めなさい -> 聖霊は思いと心に告げる -> いつも主を思い起こす
１ 神会@御父と御子は肉体を持っている -> 主の再臨
２ 救いの計画@主は生きておられる
３ イエス・キリストの贖罪@人の価値 -> 贖い -> 悔い改めの方法
４ 回復@最初の示現 -> ジョセフの業 -> 唯一まことの生ける教会
５ 預言者と啓示@預言者の言葉は主の言葉 -> 預言者の言葉を受け入れる
６ 神権と神権の鍵@主の代表者の資格 -> 神権の力 -> アロン神権 -> メルキゼデク神権
７ 儀式と聖約@神権の儀式 -> 主に従順なら心配ない
８ 結婚と家族@結婚 -> 日の栄えの状態
９ 戒め@互いに赦し合う -> 知恵の言葉 -> 伝道
