88:118@学問を求めなさい 
8:2-3@聖霊は思いと心に告げる 
6:36@いつも主を思い起こす 
130:22-23@御父と御子は肉体を持っている 
29:10-11@主の再臨 
76:22-24@主は生きておられる
18:10-11@人の価値 
19:16-19@ 贖い 
58:42-43@悔い改めの方法 
J1:15-20@最初の示現 
135:3@ジョセフの業 
1:30@唯一まことの生ける教会 
1:37-38@預言者の言葉は主の言葉 
21:4-6@預言者の言葉を受け入れる 
42:11@主の代表者の資格 
121:36, 41-42 @神権の力 
13:1@アロン神権 
107:8@メルキゼデク神権 
84:20-22@神権の儀式 
82:10@主に従順なら心配ない 
49:15-17@結婚 
131:1-4@日の栄の状態 
64:9-11@互いに赦し合う 
89:18-21@知恵の言葉 
18:15-16@伝道
