88:118@研究と信仰によって求める 
8:2-3@啓示の霊
6:36@疑わない、恐れない
130:22-23@聖霊は霊の御方 
29:10-11@福千年の始まり
76:22-24@主は創造主
18:10-11@贖いは全ての人のため
19:16-19@ 悔い改めを可能にしてくださった
58:42-43@主はその罪を思い起こさない
J1:15-20@ジョセフは御父と御子にまみえた 
135:3@ジョセフの殉教 
1:30@主の教会
1:37-38@すべて成就する
21:4-6@闇の力に勝つ方法
42:11@権能によって召される 
121:36, 41-42 @義の原則に従って運用される
13:1@神権の回復  
107:8@管理と霊的な事柄
84:20-22@神性の力の現れ 
82:10@主に主が義務を負ってくださる
49:15-17@男女間の結婚は神が定めた 
131:1-4@新しくかつ永遠の聖約
64:9-11@全ての人を赦す 
89:18-21@肉体の祝福と霊の祝福 
18:15-16@導く喜び
