わたしは前もって決めておいた場所に人目を避けて行き，@J1:15-20
また，これらの戒めを与えられた人々もこの教会の基礎を据える力と，@1:30
これらの戒めを調べなさい。これらは真実であり、@1:38-38
あらゆる思いの中でわたしを仰ぎ見なさい。@6:36
まことに見よ，あなたに降ってあなたの心の中にとどまる聖霊によって，@8:2-3
わたしと同じ僕であるあなたがたに，メシヤの御名によって，わたしはアロンの神権を授ける。@13:1
人の価値が神の目に大いなるものであることを覚えておきなさい。@18:10-11
あなたがたはこの民に悔い改めを叫ぶことに生涯力を尽くし，@18:15-16
見よ，神であるわたしは，すべての人に代わってこれらの苦しみを負い，@19:16-19
それゆえ，彼がわたしの前を完全に聖く歩み，わたしの言葉と戒めを受けるとき，@21:4-6
その時は近く，わたしの使徒たちが語ったことは必ず成就するからである。@29:10-11
重ねて，わたしはあなたがたに言う。だれか権能を持つ者によって聖任され，@42:11
さらにまた，・・・結婚は人のために神によって定められているからである。@49:15-17
見よ，自分の罪を悔い改めた者は赦され，主なるわたしはもうそれを思い起こさない。 @58:42-43
それゆえ，わたしはあなたがたに言う。あなたがたは互いに赦し合うべきである。@64:9-11
そして今，小羊についてなされてきた多くの証の後，わたしたちが最後に小羊について@76:22-24
あなたがたがわたしの言うことを行うとき，主なるわたしはそれに対して義務を負う。@82:10
それゆえ，この神権の儀式によって神性の力が現れる。また，神権の儀式と権能がなくては，@84:20-22
また，すべてが信仰を持っているわけではないので，あなたがたは知恵の言葉を熱心に求め，@88:118
これらの言葉を守って行うことを覚え，数々の戒めに従順に歩むすべての聖徒たちは，@89:18-21
メルキゼデク神権は管理する権利を有し，この世のあらゆる時代に@107:8
すなわち，神権の権利は天の力と不可分のものとして結びついており，@121:36, 41-42
御父は人間の体と同じように触れることのできる骨肉の体を持っておられる。@130:22-23
日の栄えの栄光には，三つの天，すなわち三つの階級がある。@131:1-4
主の預言者であり聖見者であるジョセフ・スミスは，ただイエスは別として，@135:3
